"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,2000,0
32.0,1,1999,0
33.0,1,1999,0
34.0,1,1998,0
35.0,1,1998,0
36.0,1,1992,0
37.0,1,1989,0
38.0,1,1983,0
39.0,1,1975,0
40.0,1,1970,0
41.0,1,1962,0
42.0,1,1950,0
43.0,1,1942,0
44.0,1,1929,0
45.0,1,1915,0
46.0,1,1900,0
47.0,1,1885,0
48.0,1,1871,0
49.0,1,1858,0
50.0,1,1837,0
51.0,1,1828,0
52.0,1,1811,0
53.0,1,1798,0
54.0,1,1788,0
55.0,1,1776,0
56.0,1,1764,0
57.0,1,1755,0
58.0,1,1738,0
59.0,1,1725,0
60.0,1,1716,0
61.0,1,1698,0
62.0,1,1677,0
63.0,1,1670,0
64.0,1,1654,0
65.0,1,1637,0
66.0,1,1623,0
67.0,1,1606,0
68.0,1,1588,0
69.0,1,1574,0
70.0,1,1560,0
71.0,1,1541,0
72.0,1,1532,0
73.0,1,1520,0
74.0,1,1507,0
75.0,1,1492,0
76.0,1,1479,0
77.0,1,1463,0
78.0,1,1446,0
79.0,1,1430,0
80.0,1,1415,0
81.0,1,1401,0
82.0,1,1380,0
83.0,1,1359,0
84.0,1,1333,0
85.0,1,1316,0
86.0,1,1296,0
87.0,1,1274,0
88.0,1,1259,0
89.0,1,1230,0
90.0,1,1213,0
91.0,1,1192,0
92.0,1,1168,0
93.0,1,1148,0
94.0,1,1122,0
95.0,1,1098,0
96.0,1,1075,0
97.0,1,1054,0
98.0,1,1034,0
99.0,1,1003,0
100.0,1,986,0
101.0,1,962,0
102.0,1,938,0
103.0,1,916,0
104.0,1,889,0
105.0,1,866,0
106.0,1,845,0
107.0,1,828,0
108.0,1,813,0
109.0,1,793,0
110.0,1,773,0
111.0,1,754,0
112.0,1,738,0
113.0,1,715,0
114.0,1,694,0
115.0,1,675,0
116.0,1,648,0
117.0,1,630,0
118.0,1,608,0
119.0,1,583,0
120.0,1,562,0
121.0,1,546,0
122.0,1,528,0
123.0,1,515,0
124.0,1,486,0
125.0,1,464,0
126.0,1,442,0
127.0,1,427,0
128.0,1,409,0
129.0,1,390,0
130.0,1,369,0
131.0,1,355,0
132.0,1,337,0
133.0,1,321,0
134.0,1,306,0
135.0,1,284,0
136.0,1,274,0
137.0,1,257,0
138.0,1,245,0
139.0,1,229,0
140.0,1,213,0
141.0,1,196,0
142.0,1,183,0
143.0,1,175,0
144.0,1,168,0
145.0,1,151,0
146.0,1,145,0
147.0,1,127,0
148.0,1,119,0
149.0,1,113,0
150.0,1,107,0
151.0,1,99,0
152.0,1,93,0
153.0,1,87,0
154.0,1,76,0
155.0,1,72,0
156.0,1,69,0
157.0,1,64,0
158.0,1,59,0
159.0,1,56,0
160.0,1,50,0
161.0,1,45,0
162.0,1,40,0
163.0,1,36,0
164.0,1,36,0
165.0,1,35,0
166.0,1,33,0
167.0,1,31,0
168.0,1,28,0
169.0,1,28,0
170.0,1,25,0
171.0,1,25,0
172.0,1,24,0
173.0,1,21,0
174.0,1,19,0
175.0,1,18,0
176.0,1,16,0
177.0,1,15,0
178.0,1,14,0
179.0,1,13,0
180.0,1,11,0
181.0,1,9,0
182.0,1,9,0
183.0,1,7,0
184.0,1,7,0
185.0,1,6,0
186.0,1,5,0
187.0,1,5,0
188.0,1,4,0
189.0,1,2,0
190.0,1,0,0
191.0,1,0,0
192.0,1,0,0
193.0,1,0,0
194.0,1,0,0
195.0,1,0,0
196.0,1,0,0
197.0,1,0,0
198.0,1,0,0
199.0,1,0,0
200.0,1,0,0
201.0,1,0,0
202.0,1,0,0
203.0,1,0,0
204.0,1,0,0
205.0,1,0,0
206.0,1,0,0
207.0,1,0,0
208.0,1,0,0
209.0,1,0,0
210.0,1,0,0
211.0,1,0,0
212.0,1,0,0
