"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,1999,0
32.0,1,1999,0
33.0,1,1998,0
34.0,1,1995,0
35.0,1,1991,0
36.0,1,1990,0
37.0,1,1979,0
38.0,1,1967,0
39.0,1,1960,0
40.0,1,1950,0
41.0,1,1939,0
42.0,1,1922,0
43.0,1,1911,0
44.0,1,1895,0
45.0,1,1889,0
46.0,1,1878,0
47.0,1,1867,0
48.0,1,1860,0
49.0,1,1847,0
50.0,1,1832,0
51.0,1,1821,0
52.0,1,1813,0
53.0,1,1806,0
54.0,1,1793,0
55.0,1,1782,0
56.0,1,1766,0
57.0,1,1756,0
58.0,1,1742,0
59.0,1,1732,0
60.0,1,1712,0
61.0,1,1693,0
62.0,1,1674,0
63.0,1,1658,0
64.0,1,1637,0
65.0,1,1618,0
66.0,1,1597,0
67.0,1,1577,0
68.0,1,1560,0
69.0,1,1545,0
70.0,1,1530,0
71.0,1,1513,0
72.0,1,1497,0
73.0,1,1479,0
74.0,1,1466,0
75.0,1,1448,0
76.0,1,1435,0
77.0,1,1423,0
78.0,1,1410,0
79.0,1,1397,0
80.0,1,1375,0
81.0,1,1360,0
82.0,1,1343,0
83.0,1,1327,0
84.0,1,1313,0
85.0,1,1293,0
86.0,1,1277,0
87.0,1,1259,0
88.0,1,1241,0
89.0,1,1222,0
90.0,1,1205,0
91.0,1,1185,0
92.0,1,1168,0
93.0,1,1151,0
94.0,1,1134,0
95.0,1,1111,0
96.0,1,1092,0
97.0,1,1068,0
98.0,1,1045,0
99.0,1,1030,0
100.0,1,1012,0
101.0,1,989,0
102.0,1,965,0
103.0,1,943,0
104.0,1,928,0
105.0,1,909,0
106.0,1,880,0
107.0,1,860,0
108.0,1,838,0
109.0,1,816,0
110.0,1,795,0
111.0,1,777,0
112.0,1,753,0
113.0,1,735,0
114.0,1,706,0
115.0,1,686,0
116.0,1,665,0
117.0,1,641,0
118.0,1,615,0
119.0,1,587,0
120.0,1,560,0
121.0,1,537,0
122.0,1,516,0
123.0,1,486,0
124.0,1,468,0
125.0,1,451,0
126.0,1,431,0
127.0,1,401,0
128.0,1,382,0
129.0,1,359,0
130.0,1,333,0
131.0,1,316,0
132.0,1,299,0
133.0,1,282,0
134.0,1,266,0
135.0,1,248,0
136.0,1,223,0
137.0,1,213,0
138.0,1,202,0
139.0,1,189,0
140.0,1,177,0
141.0,1,166,0
142.0,1,149,0
143.0,1,143,0
144.0,1,133,0
145.0,1,122,0
146.0,1,116,0
147.0,1,106,0
148.0,1,99,0
149.0,1,92,0
150.0,1,82,0
151.0,1,77,0
152.0,1,71,0
153.0,1,67,0
154.0,1,61,0
155.0,1,56,0
156.0,1,50,0
157.0,1,45,0
158.0,1,40,0
159.0,1,35,0
160.0,1,31,0
161.0,1,27,0
162.0,1,26,0
163.0,1,24,0
164.0,1,24,0
165.0,1,19,0
166.0,1,16,0
167.0,1,11,0
168.0,1,10,0
169.0,1,9,0
170.0,1,8,0
171.0,1,6,0
172.0,1,4,0
173.0,1,4,0
174.0,1,4,0
175.0,1,3,0
176.0,1,3,0
177.0,1,3,0
178.0,1,3,0
179.0,1,3,0
180.0,1,1,0
181.0,1,0,0
182.0,1,0,0
183.0,1,0,0
184.0,1,0,0
185.0,1,0,0
186.0,1,0,0
187.0,1,0,0
188.0,1,0,0
189.0,1,0,0
190.0,1,0,0
191.0,1,0,0
192.0,1,0,0
193.0,1,0,0
194.0,1,0,0
195.0,1,0,0
196.0,1,0,0
197.0,1,0,0
198.0,1,0,0
199.0,1,0,0
200.0,1,0,0
201.0,1,0,0
202.0,1,0,0
203.0,1,0,0
204.0,1,0,0
205.0,1,0,0
206.0,1,0,0
207.0,1,0,0
208.0,1,0,0
209.0,1,0,0
210.0,1,0,0
211.0,1,0,0
212.0,1,0,0
213.0,1,0,0
214.0,1,0,0
215.0,1,0,0
216.0,1,0,0
217.0,1,0,0
218.0,1,0,0
219.0,1,0,0
220.0,1,0,0
221.0,1,0,0
222.0,1,0,0
223.0,1,0,0
224.0,1,0,0
225.0,1,0,0
226.0,1,0,0
227.0,1,0,0
228.0,1,0,0
229.0,1,0,0
230.0,1,0,0
231.0,1,0,0
232.0,1,0,0
233.0,1,0,0
234.0,1,0,0
235.0,1,0,0
236.0,1,0,0
237.0,1,0,0
238.0,1,0,0
239.0,1,0,0
240.0,1,0,0
241.0,1,0,0
