"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,1999,0
32.0,1,1999,0
33.0,1,1999,0
34.0,1,1996,0
35.0,1,1993,0
36.0,1,1988,0
37.0,1,1983,0
38.0,1,1972,0
39.0,1,1960,0
40.0,1,1948,0
41.0,1,1936,0
42.0,1,1925,0
43.0,1,1918,0
44.0,1,1906,0
45.0,1,1889,0
46.0,1,1884,0
47.0,1,1873,0
48.0,1,1861,0
49.0,1,1849,0
50.0,1,1844,0
51.0,1,1832,0
52.0,1,1823,0
53.0,1,1810,0
54.0,1,1795,0
55.0,1,1788,0
56.0,1,1775,0
57.0,1,1764,0
58.0,1,1749,0
59.0,1,1734,0
60.0,1,1717,0
61.0,1,1700,0
62.0,1,1684,0
63.0,1,1667,0
64.0,1,1650,0
65.0,1,1627,0
66.0,1,1608,0
67.0,1,1600,0
68.0,1,1590,0
69.0,1,1566,0
70.0,1,1547,0
71.0,1,1529,0
72.0,1,1512,0
73.0,1,1502,0
74.0,1,1491,0
75.0,1,1485,0
76.0,1,1472,0
77.0,1,1457,0
78.0,1,1440,0
79.0,1,1423,0
80.0,1,1398,0
81.0,1,1383,0
82.0,1,1368,0
83.0,1,1351,0
84.0,1,1330,0
85.0,1,1311,0
86.0,1,1296,0
87.0,1,1278,0
88.0,1,1252,0
89.0,1,1228,0
90.0,1,1203,0
91.0,1,1188,0
92.0,1,1160,0
93.0,1,1138,0
94.0,1,1117,0
95.0,1,1098,0
96.0,1,1069,0
97.0,1,1038,0
98.0,1,1025,0
99.0,1,998,0
100.0,1,976,0
101.0,1,952,0
102.0,1,926,0
103.0,1,911,0
104.0,1,885,0
105.0,1,865,0
106.0,1,850,0
107.0,1,824,0
108.0,1,799,0
109.0,1,783,0
110.0,1,770,0
111.0,1,748,0
112.0,1,728,0
113.0,1,700,0
114.0,1,675,0
115.0,1,652,0
116.0,1,626,0
117.0,1,605,0
118.0,1,581,0
119.0,1,559,0
120.0,1,547,0
121.0,1,526,0
122.0,1,509,0
123.0,1,484,0
124.0,1,462,0
125.0,1,445,0
126.0,1,429,0
127.0,1,415,0
128.0,1,401,0
129.0,1,386,0
130.0,1,370,0
131.0,1,358,0
132.0,1,337,0
133.0,1,319,0
134.0,1,304,0
135.0,1,289,0
136.0,1,276,0
137.0,1,266,0
138.0,1,255,0
139.0,1,235,0
140.0,1,223,0
141.0,1,214,0
142.0,1,200,0
143.0,1,187,0
144.0,1,174,0
145.0,1,159,0
146.0,1,152,0
147.0,1,144,0
148.0,1,130,0
149.0,1,119,0
150.0,1,105,0
151.0,1,92,0
152.0,1,87,0
153.0,1,83,0
154.0,1,75,0
155.0,1,62,0
156.0,1,54,0
157.0,1,46,0
158.0,1,45,0
159.0,1,39,0
160.0,1,35,0
161.0,1,28,0
162.0,1,22,0
163.0,1,18,0
164.0,1,18,0
165.0,1,15,0
166.0,1,11,0
167.0,1,9,0
168.0,1,7,0
169.0,1,6,0
170.0,1,5,0
171.0,1,4,0
172.0,1,3,0
173.0,1,2,0
174.0,1,2,0
175.0,1,2,0
176.0,1,1,0
177.0,1,1,0
178.0,1,1,0
179.0,1,1,0
180.0,1,1,0
181.0,1,0,0
182.0,1,0,0
183.0,1,0,0
184.0,1,0,0
185.0,1,0,0
186.0,1,0,0
187.0,1,0,0
188.0,1,0,0
189.0,1,0,0
190.0,1,0,0
191.0,1,0,0
192.0,1,0,0
193.0,1,0,0
194.0,1,0,0
195.0,1,0,0
196.0,1,0,0
197.0,1,0,0
198.0,1,0,0
199.0,1,0,0
200.0,1,0,0
201.0,1,0,0
202.0,1,0,0
203.0,1,0,0
204.0,1,0,0
205.0,1,0,0
206.0,1,0,0
207.0,1,0,0
208.0,1,0,0
209.0,1,0,0
210.0,1,0,0
211.0,1,0,0
212.0,1,0,0
213.0,1,0,0
214.0,1,0,0
215.0,1,0,0
