"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,1999,0
31.0,1,1999,0
32.0,1,1999,0
33.0,1,1998,0
34.0,1,1997,0
35.0,1,1997,0
36.0,1,1996,0
37.0,1,1995,0
38.0,1,1994,0
39.0,1,1993,0
40.0,1,1992,0
41.0,1,1991,0
42.0,1,1991,0
43.0,1,1989,0
44.0,1,1989,0
45.0,1,1988,0
46.0,1,1986,0
47.0,1,1985,0
48.0,1,1985,0
49.0,1,1984,0
50.0,1,1983,0
51.0,1,1982,0
52.0,1,1982,0
53.0,1,1980,0
54.0,1,1977,0
55.0,1,1975,0
56.0,1,1974,0
57.0,1,1972,0
58.0,1,1967,0
59.0,1,1966,0
60.0,1,1965,0
61.0,1,1965,0
62.0,1,1963,0
63.0,1,1958,0
64.0,1,1957,0
65.0,1,1954,0
66.0,1,1953,0
67.0,1,1950,0
68.0,1,1946,0
69.0,1,1944,0
70.0,1,1942,0
71.0,1,1937,0
72.0,1,1934,0
73.0,1,1931,0
74.0,1,1928,0
75.0,1,1927,0
76.0,1,1922,0
77.0,1,1914,0
78.0,1,1909,0
79.0,1,1903,0
80.0,1,1895,0
81.0,1,1885,0
82.0,1,1878,0
83.0,1,1873,0
84.0,1,1868,0
85.0,1,1861,0
86.0,1,1851,0
87.0,1,1845,0
88.0,1,1834,0
89.0,1,1819,0
90.0,1,1809,0
91.0,1,1793,0
92.0,1,1788,0
93.0,1,1777,0
94.0,1,1767,0
95.0,1,1753,0
96.0,1,1741,0
97.0,1,1733,0
98.0,1,1724,0
99.0,1,1718,0
100.0,1,1706,0
101.0,1,1691,0
102.0,1,1675,0
103.0,1,1660,0
104.0,1,1646,0
105.0,1,1628,0
106.0,1,1617,0
107.0,1,1599,0
108.0,1,1584,0
109.0,1,1573,0
110.0,1,1559,0
111.0,1,1542,0
112.0,1,1526,0
113.0,1,1498,0
114.0,1,1479,0
115.0,1,1466,0
116.0,1,1450,0
117.0,1,1424,0
118.0,1,1408,0
119.0,1,1393,0
120.0,1,1375,0
121.0,1,1351,0
122.0,1,1325,0
123.0,1,1299,0
124.0,1,1278,0
125.0,1,1254,0
126.0,1,1236,0
127.0,1,1215,0
128.0,1,1203,0
129.0,1,1178,0
130.0,1,1151,0
131.0,1,1126,0
132.0,1,1100,0
133.0,1,1074,0
134.0,1,1057,0
135.0,1,1037,0
136.0,1,1014,0
137.0,1,986,0
138.0,1,964,0
139.0,1,934,0
140.0,1,912,0
141.0,1,884,0
142.0,1,860,0
143.0,1,830,0
144.0,1,805,0
145.0,1,781,0
146.0,1,758,0
147.0,1,736,0
148.0,1,711,0
149.0,1,683,0
150.0,1,651,0
151.0,1,624,0
152.0,1,600,0
153.0,1,571,0
154.0,1,549,0
155.0,1,528,0
156.0,1,498,0
157.0,1,473,0
