"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,1999,0
28.0,1,1999,0
29.0,1,1999,0
30.0,1,1997,0
31.0,1,1997,0
32.0,1,1997,0
33.0,1,1997,0
34.0,1,1995,0
35.0,1,1994,0
36.0,1,1993,0
37.0,1,1992,0
38.0,1,1992,0
39.0,1,1989,0
40.0,1,1988,0
41.0,1,1988,0
42.0,1,1987,0
43.0,1,1987,0
44.0,1,1984,0
45.0,1,1981,0
46.0,1,1978,0
47.0,1,1975,0
48.0,1,1975,0
49.0,1,1974,0
50.0,1,1974,0
51.0,1,1973,0
52.0,1,1970,0
53.0,1,1966,0
54.0,1,1965,0
55.0,1,1965,0
56.0,1,1963,0
57.0,1,1960,0
58.0,1,1955,0
59.0,1,1955,0
60.0,1,1951,0
61.0,1,1950,0
62.0,1,1947,0
63.0,1,1946,0
64.0,1,1943,0
65.0,1,1938,0
66.0,1,1935,0
67.0,1,1935,0
68.0,1,1928,0
69.0,1,1928,0
70.0,1,1928,0
71.0,1,1924,0
72.0,1,1923,0
73.0,1,1920,0
74.0,1,1914,0
75.0,1,1911,0
76.0,1,1907,0
77.0,1,1902,0
78.0,1,1899,0
79.0,1,1894,0
80.0,1,1887,0
81.0,1,1883,0
82.0,1,1877,0
83.0,1,1875,0
84.0,1,1868,0
85.0,1,1861,0
86.0,1,1857,0
87.0,1,1851,0
88.0,1,1841,0
89.0,1,1837,0
90.0,1,1829,0
91.0,1,1817,0
92.0,1,1807,0
93.0,1,1799,0
94.0,1,1788,0
95.0,1,1781,0
96.0,1,1776,0
97.0,1,1771,0
98.0,1,1763,0
99.0,1,1753,0
100.0,1,1741,0
101.0,1,1728,0
102.0,1,1716,0
103.0,1,1705,0
104.0,1,1695,0
105.0,1,1685,0
106.0,1,1675,0
107.0,1,1661,0
108.0,1,1644,0
109.0,1,1621,0
110.0,1,1609,0
111.0,1,1596,0
112.0,1,1585,0
113.0,1,1571,0
114.0,1,1556,0
115.0,1,1543,0
116.0,1,1527,0
117.0,1,1520,0
118.0,1,1507,0
119.0,1,1491,0
120.0,1,1474,0
121.0,1,1460,0
122.0,1,1447,0
123.0,1,1426,0
124.0,1,1415,0
125.0,1,1393,0
126.0,1,1379,0
127.0,1,1359,0
128.0,1,1327,0
129.0,1,1310,0
130.0,1,1294,0
131.0,1,1269,0
132.0,1,1245,0
133.0,1,1217,0
134.0,1,1197,0
135.0,1,1173,0
136.0,1,1152,0
137.0,1,1128,0
138.0,1,1101,0
139.0,1,1067,0
140.0,1,1037,0
141.0,1,1002,0
142.0,1,973,0
143.0,1,947,0
144.0,1,914,0
145.0,1,892,0
146.0,1,863,0
147.0,1,841,0
148.0,1,823,0
149.0,1,794,0
150.0,1,769,0
151.0,1,744,0
152.0,1,720,0
153.0,1,697,0
154.0,1,676,0
155.0,1,657,0
156.0,1,628,0
157.0,1,602,0
158.0,1,580,0
159.0,1,558,0
160.0,1,544,0
161.0,1,528,0
162.0,1,516,0
163.0,1,490,0
164.0,1,475,0
165.0,1,454,0
166.0,1,435,0
167.0,1,415,0
168.0,1,392,0
169.0,1,374,0
170.0,1,354,0
171.0,1,339,0
172.0,1,327,0
173.0,1,302,0
174.0,1,289,0
175.0,1,277,0
176.0,1,262,0
177.0,1,252,0
178.0,1,238,0
179.0,1,224,0
180.0,1,203,0
181.0,1,190,0
182.0,1,178,0
183.0,1,171,0
184.0,1,162,0
185.0,1,147,0
186.0,1,136,0
187.0,1,127,0
188.0,1,119,0
189.0,1,108,0
190.0,1,96,0
191.0,1,89,0
192.0,1,81,0
193.0,1,75,0
194.0,1,69,0
195.0,1,62,0
196.0,1,54,0
197.0,1,45,0
198.0,1,39,0
199.0,1,36,0
200.0,1,32,0
201.0,1,27,0
202.0,1,25,0
203.0,1,22,0
204.0,1,22,0
205.0,1,19,0
206.0,1,14,0
207.0,1,14,0
208.0,1,10,0
209.0,1,8,0
210.0,1,5,0
211.0,1,4,0
212.0,1,2,0
213.0,1,2,0
214.0,1,2,0
215.0,1,1,0
216.0,1,0,0
217.0,1,0,0
218.0,1,0,0
219.0,1,0,0
220.0,1,0,0
221.0,1,0,0
222.0,1,0,0
223.0,1,0,0
224.0,1,0,0
225.0,1,0,0
226.0,1,0,0
227.0,1,0,0
228.0,1,0,0
229.0,1,0,0
230.0,1,0,0
231.0,1,0,0
232.0,1,0,0
233.0,1,0,0
234.0,1,0,0
235.0,1,0,0
236.0,1,0,0
237.0,1,0,0
238.0,1,0,0
239.0,1,0,0
240.0,1,0,0
241.0,1,0,0
