"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,2000,0
32.0,1,2000,0
33.0,1,2000,0
34.0,1,2000,0
35.0,1,1997,0
36.0,1,1995,0
37.0,1,1991,0
38.0,1,1984,0
39.0,1,1979,0
40.0,1,1975,0
41.0,1,1970,0
42.0,1,1957,0
43.0,1,1944,0
44.0,1,1928,0
45.0,1,1914,0
46.0,1,1901,0
47.0,1,1890,0
48.0,1,1881,0
49.0,1,1868,0
50.0,1,1861,0
51.0,1,1852,0
52.0,1,1842,0
53.0,1,1835,0
54.0,1,1825,0
55.0,1,1813,0
56.0,1,1801,0
57.0,1,1795,0
58.0,1,1780,0
59.0,1,1762,0
60.0,1,1744,0
61.0,1,1734,0
62.0,1,1727,0
63.0,1,1711,0
64.0,1,1700,0
65.0,1,1685,0
66.0,1,1676,0
67.0,1,1660,0
68.0,1,1650,0
69.0,1,1636,0
70.0,1,1617,0
71.0,1,1598,0
72.0,1,1583,0
73.0,1,1569,0
74.0,1,1550,0
75.0,1,1530,0
76.0,1,1519,0
77.0,1,1499,0
78.0,1,1479,0
79.0,1,1466,0
80.0,1,1448,0
81.0,1,1430,0
82.0,1,1412,0
83.0,1,1397,0
84.0,1,1374,0
85.0,1,1356,0
86.0,1,1335,0
87.0,1,1315,0
88.0,1,1286,0
89.0,1,1265,0
90.0,1,1236,0
91.0,1,1208,0
92.0,1,1187,0
93.0,1,1169,0
94.0,1,1140,0
95.0,1,1116,0
96.0,1,1098,0
97.0,1,1076,0
98.0,1,1050,0
99.0,1,1036,0
100.0,1,1019,0
101.0,1,1007,0
102.0,1,978,0
103.0,1,950,0
104.0,1,920,0
105.0,1,905,0
106.0,1,880,0
107.0,1,842,0
108.0,1,821,0
109.0,1,807,0
110.0,1,782,0
111.0,1,759,0
112.0,1,734,0
113.0,1,706,0
114.0,1,676,0
115.0,1,652,0
116.0,1,633,0
117.0,1,618,0
118.0,1,600,0
119.0,1,579,0
120.0,1,558,0
121.0,1,532,0
122.0,1,509,0
123.0,1,487,0
124.0,1,471,0
125.0,1,459,0
126.0,1,440,0
127.0,1,427,0
128.0,1,416,0
129.0,1,393,0
130.0,1,373,0
131.0,1,348,0
132.0,1,335,0
133.0,1,324,0
134.0,1,310,0
135.0,1,300,0
136.0,1,286,0
137.0,1,265,0
138.0,1,246,0
139.0,1,231,0
140.0,1,216,0
141.0,1,207,0
142.0,1,189,0
143.0,1,178,0
144.0,1,163,0
145.0,1,151,0
146.0,1,143,0
147.0,1,132,0
148.0,1,125,0
149.0,1,112,0
150.0,1,104,0
151.0,1,94,0
152.0,1,87,0
153.0,1,77,0
154.0,1,65,0
155.0,1,59,0
156.0,1,49,0
157.0,1,43,0
158.0,1,40,0
159.0,1,36,0
160.0,1,32,0
161.0,1,27,0
162.0,1,22,0
163.0,1,20,0
164.0,1,18,0
165.0,1,16,0
166.0,1,15,0
167.0,1,12,0
168.0,1,10,0
